"Product","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50",
"P13","NO","YES","YES","YES","YES","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES",
"P14","NO","YES","NO","YES","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","YES",
"P15","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES",
"P16","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","YES","YES","YES","YES","YES","YES","NO","YES",
"P17","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",
"P18","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES",
"P19","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES",
"P20","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",
"P21","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","YES","YES","YES","YES","YES","YES","NO","YES",
"P22","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES",
"P23","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES",
"P24","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO","YES","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES",
"P25","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P26","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
#PCMSeed:1827454623
